year,prev_avg_gdp_growth,prev_avg_unemployment
1952,1.3430307121032379,3.283333333333335
1956,1.6085576306151967,4.366666666666665
1960,1.1334895632184776,5.45
1964,1.2669377856669668,5.6416666666666675
1968,0.6617526328564902,3.841666666666665
1972,1.0789668272000108,5.9499999999999975
1976,0.6388520608230961,8.475000000000003
1980,0.31991493402299,5.850000000000002
1984,1.9196869564625725,9.6
1988,1.1021834936562702,6.175
1992,0.2914175724934057,6.85
1996,0.545698895498436,5.59166666666667
2000,1.181220096849214,4.216666666666668
2004,1.0653507596051075,5.991666666666665
2008,0.4898696869666435,4.616666666666667
2012,0.401509599843461,8.933333333333332
2016,0.5371837352506638,5.274999999999997
2020,0.5797463308696877,3.666666666666665
