state,year,total,D,R,party,pv2p,last_pv2p,winner,incumbent,incumbent_party
Arkansas,1996,884262,475171,325416,republican,40.64717513524451,40.007732933877485,FALSE,FALSE,FALSE
Arkansas,1996,884262,475171,325416,democrat,59.35282486475548,59.992267066122515,TRUE,TRUE,TRUE
Arkansas,2000,921781,422768,472940,republican,52.80068951042081,40.64717513524451,TRUE,FALSE,FALSE
Arkansas,2000,921781,422768,472940,democrat,47.19931048957919,59.35282486475548,FALSE,FALSE,TRUE
Arkansas,2004,1054945,469953,572898,republican,54.93574825166778,52.80068951042081,TRUE,TRUE,TRUE
Arkansas,2004,1054945,469953,572898,democrat,45.06425174833222,47.19931048957919,FALSE,FALSE,FALSE
Arkansas,2008,1086617,422310,638017,republican,60.17172061071726,54.93574825166778,FALSE,FALSE,TRUE
Arkansas,2008,1086617,422310,638017,democrat,39.82827938928274,45.06425174833222,TRUE,FALSE,FALSE
Arkansas,2012,1069468,394409,647744,republican,62.15440535122961,60.17172061071726,FALSE,FALSE,FALSE
Arkansas,2012,1069468,394409,647744,democrat,37.84559464877038,39.82827938928274,TRUE,TRUE,TRUE
Arkansas,2016,1130635,380494,684872,republican,64.28513768977047,62.15440535122961,TRUE,FALSE,FALSE
Arkansas,2016,1130635,380494,684872,democrat,35.714862310229535,37.84559464877038,FALSE,FALSE,TRUE
California,1988,9887065,4702233,5054917,republican,51.80731053637588,58.22453482219766,TRUE,FALSE,TRUE
California,1988,9887065,4702233,5054917,democrat,48.19268946362411,41.77546517780233,FALSE,FALSE,FALSE
California,1992,11131721,5121325,3630574,republican,41.48327123062092,51.80731053637588,FALSE,TRUE,TRUE
California,1992,11131721,5121325,3630574,democrat,58.51672876937908,48.19268946362411,TRUE,FALSE,FALSE
California,1996,10019469,5119835,3828381,republican,42.78373476903106,41.48327123062092,FALSE,FALSE,FALSE
California,1996,10019469,5119835,3828381,democrat,57.21626523096894,58.51672876937908,TRUE,TRUE,TRUE
California,2000,10965822,5861203,4567429,republican,43.79701000092822,42.78373476903106,TRUE,FALSE,FALSE
California,2000,10965822,5861203,4567429,democrat,56.20298999907178,57.21626523096894,FALSE,FALSE,TRUE
California,2004,12421353,6745485,5509826,republican,44.958679547177546,43.79701000092822,TRUE,TRUE,TRUE
California,2004,12421353,6745485,5509826,democrat,55.041320452822454,56.20298999907178,FALSE,FALSE,FALSE
California,2008,13561900,8274473,5011781,republican,37.721550408414586,44.958679547177546,FALSE,FALSE,TRUE
California,2008,13561900,8274473,5011781,democrat,62.27844959158541,55.041320452822454,TRUE,FALSE,FALSE
California,2012,13038547,7854285,4839958,republican,38.12718883670338,37.721550408414586,FALSE,FALSE,FALSE
California,2012,13038547,7854285,4839958,democrat,61.872811163296625,62.27844959158541,TRUE,TRUE,TRUE
California,2016,14181595,8753788,4483810,republican,33.871779457270115,38.12718883670338,TRUE,FALSE,FALSE
California,2016,14181595,8753788,4483810,democrat,66.12822054272989,61.872811163296625,FALSE,FALSE,TRUE
Colorado,1988,1372394,621453,728177,republican,53.95382438149715,64.3657698356506,TRUE,FALSE,TRUE
Colorado,1988,1372394,621453,728177,democrat,46.04617561850285,35.634230164349404,FALSE,FALSE,FALSE
Colorado,1992,1569180,629681,562850,republican,47.19793447717502,53.95382438149715,FALSE,TRUE,TRUE
Colorado,1992,1569180,629681,562850,democrat,52.80206552282498,46.04617561850285,TRUE,FALSE,FALSE
Colorado,1996,1510702,671152,691848,republican,50.75920763022744,47.19793447717502,FALSE,FALSE,FALSE
Colorado,1996,1510702,671152,691848,democrat,49.240792369772564,52.80206552282498,TRUE,TRUE,TRUE
Colorado,2000,1741368,738227,883748,republican,54.48591994327903,50.75920763022744,TRUE,FALSE,FALSE
Colorado,2000,1741368,738227,883748,democrat,45.51408005672097,49.240792369772564,FALSE,FALSE,TRUE
Colorado,2004,2129630,1001732,1101255,republican,52.36622955824264,54.48591994327903,TRUE,TRUE,TRUE
Colorado,2004,2129630,1001732,1101255,democrat,47.63377044175737,45.51408005672097,FALSE,FALSE,FALSE
Colorado,2008,2401361,1288576,1073589,republican,45.44936530682658,52.36622955824264,FALSE,FALSE,TRUE
Colorado,2008,2401361,1288576,1073589,democrat,54.55063469317343,47.63377044175737,TRUE,FALSE,FALSE
Colorado,2012,2569516,1323101,1185243,republican,47.252011685797484,45.44936530682658,FALSE,FALSE,FALSE
Colorado,2012,2569516,1323101,1185243,democrat,52.74798831420252,54.55063469317343,TRUE,TRUE,TRUE
Colorado,2016,2780220,1338870,1202484,republican,47.316666627317566,47.252011685797484,TRUE,FALSE,FALSE
Colorado,2016,2780220,1338870,1202484,democrat,52.68333337268244,52.74798831420252,FALSE,FALSE,TRUE
Connecticut,1988,1443394,676584,750241,republican,52.581150456432994,60.999168763018034,TRUE,FALSE,TRUE
Connecticut,1988,1443394,676584,750241,democrat,47.418849543567006,39.000831236981966,FALSE,FALSE,FALSE
Connecticut,1992,1616156,682318,578313,republican,45.87488329257332,52.581150456432994,FALSE,TRUE,TRUE
Connecticut,1992,1616156,682318,578313,democrat,54.12511670742668,47.418849543567006,TRUE,FALSE,FALSE
Connecticut,1996,1392614,735740,483109,republican,39.63649311768726,45.87488329257332,FALSE,FALSE,FALSE
Connecticut,1996,1392614,735740,483109,democrat,60.363506882312734,54.12511670742668,TRUE,TRUE,TRUE
Connecticut,2000,1459525,816015,561094,republican,40.74434195114548,39.63649311768726,TRUE,FALSE,FALSE
Connecticut,2000,1459525,816015,561094,democrat,59.25565804885452,60.363506882312734,FALSE,FALSE,TRUE
Connecticut,2004,1578769,857488,693826,republican,44.725052439415876,40.74434195114548,TRUE,TRUE,TRUE
Connecticut,2004,1578769,857488,693826,democrat,55.27494756058412,59.25565804885452,FALSE,FALSE,FALSE
Connecticut,2008,1646792,997772,629428,republican,38.68166175024582,44.725052439415876,FALSE,FALSE,TRUE
Connecticut,2008,1646792,997772,629428,democrat,61.31833824975418,55.27494756058412,TRUE,FALSE,FALSE
Connecticut,2012,1558204,905083,634892,republican,41.227422523092905,38.68166175024582,FALSE,FALSE,FALSE
Connecticut,2012,1558204,905083,634892,democrat,58.772577476907095,61.31833824975418,TRUE,TRUE,TRUE
Connecticut,2016,1644920,897572,673215,republican,42.85845248273636,41.227422523092905,TRUE,FALSE,FALSE
Connecticut,2016,1644920,897572,673215,democrat,57.14154751726363,58.772577476907095,FALSE,FALSE,TRUE
Delaware,1988,249891,108647,139639,republican,56.24118959586928,59.95367269919557,TRUE,FALSE,TRUE
Delaware,1988,249891,108647,139639,democrat,43.75881040413072,40.04632730080442,FALSE,FALSE,FALSE
Delaware,1992,289620,126054,102313,republican,44.80200729527471,56.24118959586928,FALSE,TRUE,TRUE
Delaware,1992,289620,126054,102313,democrat,55.19799270472529,43.75881040413072,TRUE,FALSE,FALSE
Delaware,1996,270810,140355,99062,republican,41.376343367430046,44.80200729527471,FALSE,FALSE,FALSE
Delaware,1996,270810,140355,99062,democrat,58.623656632569954,55.19799270472529,TRUE,TRUE,TRUE
Delaware,2000,327529,180068,137288,republican,43.259935214711554,41.376343367430046,TRUE,FALSE,FALSE
Delaware,2000,327529,180068,137288,democrat,56.740064785288446,58.623656632569954,FALSE,FALSE,TRUE
Delaware,2004,375190,200152,171660,republican,46.1684937549084,43.259935214711554,TRUE,TRUE,TRUE
Delaware,2004,375190,200152,171660,democrat,53.83150624509161,56.740064785288446,FALSE,FALSE,FALSE
Delaware,2008,412412,255459,152374,republican,37.36186135011144,46.1684937549084,FALSE,FALSE,TRUE
Delaware,2008,412412,255459,152374,democrat,62.63813864988855,53.83150624509161,TRUE,FALSE,FALSE
Delaware,2012,413890,242584,165484,republican,40.55304508072184,37.36186135011144,FALSE,FALSE,FALSE
Delaware,2012,413890,242584,165484,democrat,59.44695491927816,62.63813864988855,TRUE,TRUE,TRUE
Delaware,2016,441590,235603,185127,republican,44.001378556318784,40.55304508072184,TRUE,FALSE,FALSE
Delaware,2016,441590,235603,185127,democrat,55.998621443681216,59.44695491927816,FALSE,FALSE,TRUE
District of Columbia,1988,192877,159407,27590,republican,14.754247394343226,13.852266052899239,TRUE,FALSE,TRUE
District of Columbia,1988,192877,159407,27590,democrat,85.24575260565678,86.14773394710076,FALSE,FALSE,FALSE
District of Columbia,1992,227572,192619,20698,republican,9.702930380607265,14.754247394343226,FALSE,TRUE,TRUE
District of Columbia,1992,227572,192619,20698,democrat,90.29706961939273,85.24575260565678,TRUE,FALSE,FALSE
District of Columbia,1996,185726,158220,17339,republican,9.876451791135743,9.702930380607265,FALSE,FALSE,FALSE
District of Columbia,1996,185726,158220,17339,democrat,90.12354820886426,90.29706961939273,TRUE,TRUE,TRUE
District of Columbia,2000,201894,171923,18073,republican,9.51230552222152,9.876451791135743,TRUE,FALSE,FALSE
District of Columbia,2000,201894,171923,18073,democrat,90.48769447777848,90.12354820886426,FALSE,FALSE,TRUE
District of Columbia,2004,227586,202970,21256,republican,9.479721352563931,9.51230552222152,TRUE,TRUE,TRUE
District of Columbia,2004,227586,202970,21256,democrat,90.52027864743607,90.48769447777848,FALSE,FALSE,FALSE
District of Columbia,2008,265853,245800,17367,republican,6.599231666584336,9.479721352563931,FALSE,FALSE,TRUE
District of Columbia,2008,265853,245800,17367,democrat,93.40076833341567,90.52027864743607,TRUE,FALSE,FALSE
District of Columbia,2012,293764,267070,21381,republican,7.412350797882484,6.599231666584336,FALSE,FALSE,FALSE
District of Columbia,2012,293764,267070,21381,democrat,92.58764920211752,93.40076833341567,TRUE,TRUE,TRUE
District of Columbia,2016,312575,282830,12723,republican,4.304811658145916,7.412350797882484,TRUE,FALSE,FALSE
District of Columbia,2016,312575,282830,12723,democrat,95.69518834185409,92.58764920211752,FALSE,FALSE,TRUE
Florida,1988,4302313,1656701,2618885,republican,61.25207164585159,65.33241321354548,TRUE,FALSE,TRUE
Florida,1988,4302313,1656701,2618885,democrat,38.747928354148414,34.66758678645452,FALSE,FALSE,FALSE
Florida,1992,5313392,2071698,2173310,republican,51.19684108958098,61.25207164585159,FALSE,TRUE,TRUE
Florida,1992,5313392,2071698,2173310,democrat,48.803158910419015,38.747928354148414,TRUE,FALSE,FALSE
Florida,1996,5303154,2546870,2244536,republican,46.8450388048936,51.19684108958098,FALSE,FALSE,FALSE
Florida,1996,5303154,2546870,2244536,democrat,53.15496119510641,48.803158910419015,TRUE,TRUE,TRUE
Florida,2000,5963110,2912253,2912790,republican,50.00460940803355,46.8450388048936,TRUE,FALSE,FALSE
Florida,2000,5963110,2912253,2912790,democrat,49.99539059196644,53.15496119510641,FALSE,FALSE,TRUE
Florida,2004,7609810,3583544,3964522,republican,52.523679575668794,50.00460940803355,TRUE,TRUE,TRUE
Florida,2004,7609810,3583544,3964522,democrat,47.47632042433121,49.99539059196644,FALSE,FALSE,FALSE
Florida,2008,8390744,4282074,4045624,republican,48.580339969100706,52.523679575668794,FALSE,FALSE,TRUE
Florida,2008,8390744,4282074,4045624,democrat,51.419660030899294,47.47632042433121,TRUE,FALSE,FALSE
Florida,2012,8474179,4237756,4163447,republican,49.55774786063377,48.580339969100706,FALSE,FALSE,FALSE
Florida,2012,8474179,4237756,4163447,democrat,50.442252139366225,51.419660030899294,TRUE,TRUE,TRUE
Florida,2016,9420039,4504975,4617886,republican,50.61883547277548,49.55774786063377,TRUE,FALSE,FALSE
Florida,2016,9420039,4504975,4617886,democrat,49.38116452722452,50.442252139366225,FALSE,FALSE,TRUE
Georgia,1988,1809672,714792,1081331,republican,60.203616344760356,60.197820148139805,TRUE,FALSE,TRUE
